event_id,rate,gmpe
0,1.39E-05,ZhaoEtAl2006Asc()
1,1.39E-05,ZhaoEtAl2006Asc()
2,1.39E-05,ZhaoEtAl2006Asc()
3,1.39E-05,ZhaoEtAl2006Asc()
4,1.39E-05,ZhaoEtAl2006Asc()
5,1.39E-05,ZhaoEtAl2006Asc()
6,1.39E-05,ZhaoEtAl2006Asc()
7,1.39E-05,ZhaoEtAl2006Asc()
8,1.39E-05,ZhaoEtAl2006Asc()
9,1.39E-05,ZhaoEtAl2006Asc()
10,1.39E-05,ZhaoEtAl2006Asc()
11,1.39E-05,ZhaoEtAl2006Asc()
12,1.39E-05,ZhaoEtAl2006Asc()
13,1.39E-05,ZhaoEtAl2006Asc()
14,1.39E-05,ZhaoEtAl2006Asc()
15,1.39E-05,ZhaoEtAl2006Asc()
16,1.39E-05,ZhaoEtAl2006Asc()
17,1.39E-05,ZhaoEtAl2006Asc()
18,3.88E-05,ZhaoEtAl2006Asc()
19,3.16E-05,ZhaoEtAl2006Asc()
20,2.57E-05,ZhaoEtAl2006Asc()
21,2.10E-05,ZhaoEtAl2006Asc()
22,1.71E-05,ZhaoEtAl2006Asc()
23,1.39E-05,ZhaoEtAl2006Asc()
24,3.88E-05,ZhaoEtAl2006Asc()
25,3.16E-05,ZhaoEtAl2006Asc()
26,2.57E-05,ZhaoEtAl2006Asc()
27,2.10E-05,ZhaoEtAl2006Asc()
28,1.71E-05,ZhaoEtAl2006Asc()
29,1.39E-05,ZhaoEtAl2006Asc()
30,3.88E-05,ZhaoEtAl2006Asc()
31,3.16E-05,ZhaoEtAl2006Asc()
32,2.57E-05,ZhaoEtAl2006Asc()
33,2.10E-05,ZhaoEtAl2006Asc()
34,1.71E-05,ZhaoEtAl2006Asc()
35,1.39E-05,ZhaoEtAl2006Asc()
36,3.88E-05,ZhaoEtAl2006Asc()
37,3.16E-05,ZhaoEtAl2006Asc()
38,2.57E-05,ZhaoEtAl2006Asc()
39,2.10E-05,ZhaoEtAl2006Asc()
40,1.71E-05,ZhaoEtAl2006Asc()
41,1.39E-05,ZhaoEtAl2006Asc()
42,3.88E-05,ZhaoEtAl2006Asc()
43,3.16E-05,ZhaoEtAl2006Asc()
44,2.57E-05,ZhaoEtAl2006Asc()
45,2.10E-05,ZhaoEtAl2006Asc()
46,1.71E-05,ZhaoEtAl2006Asc()
47,1.39E-05,ZhaoEtAl2006Asc()
48,3.88E-05,ZhaoEtAl2006Asc()
49,3.16E-05,ZhaoEtAl2006Asc()
