site_id,lon,lat
0,-84.19849267,9.802719
1,-84.19849267,9.819385667
2,-84.19849267,9.836052333
3,-84.19849267,9.852719
4,-84.19849267,9.869385667
5,-84.19849267,9.886052333
6,-84.19849267,9.902719
7,-84.19849267,9.919385667
8,-84.19849267,9.936052333
9,-84.19849267,9.952719
10,-84.19849267,9.969385667
11,-84.19849267,9.986052333
12,-84.181826,9.802719
13,-84.181826,9.819385667
14,-84.181826,9.836052333
15,-84.181826,9.869385667
16,-84.181826,9.902719
17,-84.181826,9.919385667
18,-84.181826,9.936052333
19,-84.181826,9.952719
20,-84.181826,9.969385667
21,-84.181826,9.986052333
22,-84.16515933,9.802719
23,-84.16515933,9.819385667
24,-84.16515933,9.836052333
25,-84.16515933,9.852719
26,-84.16515933,9.869385667
27,-84.16515933,9.902719
28,-84.16515933,9.919385667
29,-84.16515933,9.936052333
30,-84.16515933,9.952719
31,-84.16515933,9.969385667
32,-84.16515933,9.986052333
33,-84.14849267,9.802719
34,-84.14849267,9.819385667
35,-84.14849267,9.836052333
36,-84.14849267,9.852719
37,-84.14849267,9.869385667
38,-84.14849267,9.886052333
39,-84.14849267,9.902719
40,-84.14849267,9.919385667
41,-84.14849267,9.936052333
42,-84.14849267,9.952719
43,-84.14849267,9.969385667
44,-84.14849267,9.986052333
45,-84.131826,9.802719
46,-84.131826,9.819385667
47,-84.131826,9.836052333
48,-84.131826,9.886052333
49,-84.131826,9.902719
50,-84.131826,9.919385667
51,-84.131826,9.936052333
52,-84.131826,9.952719
53,-84.131826,9.969385667
54,-84.131826,9.986052333
55,-84.11515933,9.802719
56,-84.11515933,9.819385667
57,-84.11515933,9.836052333
58,-84.11515933,9.852719
59,-84.11515933,9.869385667
60,-84.11515933,9.886052333
61,-84.11515933,9.902719
62,-84.11515933,9.919385667
63,-84.11515933,9.936052333
64,-84.11515933,9.952719
65,-84.11515933,9.969385667
66,-84.11515933,9.986052333
67,-84.09849267,9.802719
68,-84.09849267,9.819385667
69,-84.09849267,9.836052333
70,-84.09849267,9.852719
71,-84.09849267,9.869385667
72,-84.09849267,9.886052333
73,-84.09849267,9.902719
74,-84.09849267,9.919385667
75,-84.09849267,9.936052333
76,-84.09849267,9.952719
77,-84.09849267,9.969385667
78,-84.09849267,9.986052333
79,-84.081826,9.802719
80,-84.081826,9.819385667
81,-84.081826,9.836052333
82,-84.081826,9.852719
83,-84.081826,9.869385667
84,-84.081826,9.886052333
85,-84.081826,9.902719
86,-84.081826,9.919385667
87,-84.081826,9.936052333
88,-84.081826,9.952719
89,-84.081826,9.969385667
90,-84.081826,9.986052333
91,-84.06515933,9.802719
92,-84.06515933,9.819385667
93,-84.06515933,9.836052333
94,-84.06515933,9.852719
95,-84.06515933,9.869385667
96,-84.06515933,9.886052333
97,-84.06515933,9.902719
98,-84.06515933,9.919385667
99,-84.06515933,9.936052333
100,-84.06515933,9.952719
101,-84.06515933,9.969385667
102,-84.06515933,9.986052333
103,-84.04849267,9.802719
104,-84.04849267,9.836052333
105,-84.04849267,9.852719
106,-84.04849267,9.869385667
107,-84.04849267,9.886052333
108,-84.04849267,9.902719
109,-84.04849267,9.919385667
110,-84.04849267,9.936052333
111,-84.04849267,9.952719
112,-84.04849267,9.969385667
113,-84.04849267,9.986052333
114,-84.031826,9.802719
115,-84.031826,9.819385667
116,-84.031826,9.836052333
117,-84.031826,9.852719
118,-84.031826,9.869385667
119,-84.031826,9.886052333
120,-84.031826,9.902719
121,-84.031826,9.919385667
122,-84.031826,9.936052333
123,-84.031826,9.952719
124,-84.031826,9.969385667
125,-84.031826,9.986052333
126,-84.01515933,9.802719
127,-84.01515933,9.869385667
128,-84.01515933,9.886052333
129,-84.01515933,9.902719
130,-84.01515933,9.919385667
131,-84.01515933,9.936052333
132,-84.01515933,9.952719
133,-84.01515933,9.969385667
134,-84.01515933,9.986052333
